BIL,HS,PRODUCT DESCRIPTION,COUNTRY,MONTH,TRADE FLOW,TRADE VALUE
19,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEW ZEALAND,2022-03-01,IMPORTS,8149409
20,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",SPAIN,2022-03-01,IMPORTS,1314666
21,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",UNITED STATES,2022-03-01,IMPORTS,0
22,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",AUSTRALIA,2022-04-01,IMPORTS,374715
23,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BRAZIL,2022-04-01,IMPORTS,0
24,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",FRANCE,2022-04-01,IMPORTS,0
25,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NETHERLANDS,2022-04-01,IMPORTS,222335
26,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEW ZEALAND,2022-04-01,IMPORTS,1408689
27,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",SPAIN,2022-04-01,IMPORTS,0
28,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",UNITED STATES,2022-04-01,IMPORTS,0
